    "NewGame"    新游戏
    "RedGrass"    血草
    "GreenGrass"    绿草
    "CreepvinePiece"    海藻块
    "Mohawk"    莫霍克草
    "GreenReeds"    斑点苇
    "JellyPlant"    凝胶球
    "BlueJeweledDisk"    蓝宝石盘
    "GreenJeweledDisk"    绿宝石盘
    "PurpleJeweledDisk"    紫宝石盘
    "RedJeweledDisk"    红宝石盘
    "SmallKoosh"    小型库什
    "MediumKoosh"    普通库什
    "LargeKoosh"    大型库什
    "HugeKoosh"    巨型库什
    "MembrainTree"    脑膜树
    "PurpleFan"    紫扇草
    "AcidMushroom"    酸性蘑菇
    "PurpleTentacle"    触手草
    "RedSeaweed"    血藻
    "CoralShellPlate"    珊瑚板
    "SmallFan"    小风扇
    "SmallFanCluster"    小风扇群
    "BigCoralTubes"    大珊瑚管
    "TreeMushroom"    树状蘑菇
    "BlueCluster"    格鲁草簇
    "BrownTubes"    棕色珊瑚管
    "BloodGrass"    血藻
    "JeweledDiskPiece"    宝石盘碎片
    "CoralChunk"    珊瑚管样本
    "KooshChunk"    库什样本
    "StalkerTooth"    潜行者的牙
    "SmallStorage"    防水储物柜
    "SeamothFragment"    海蛾号碎片
    "StasisRifleFragment"    凝滞枪碎片
    "ExosuitFragment"    海虾动力盔甲碎片
    "TransfuserFragment"    基因提取枪碎片
    "TerraformerFragment"    地形改造器碎片
    "ReinforceHullFragment"    独眼巨人号深度模块碎片
    "WorkbenchFragment"    高级工作台碎片
    "FabricatorBlueprint"    工作台蓝图
    "ConstructorBlueprint"    载具舱蓝图
    "CyclopsBlueprint"    独眼巨人号蓝图
    "SeamothBlueprint"    海蛾号蓝图
    "StasisRifleBlueprint"    凝滞枪蓝图
    "ExosuitBlueprint"    海虾动力盔甲蓝图
    "TransfuserBlueprint"    基因提取枪蓝图
    "TerraformerBlueprint"    地形改造器蓝图
    "ReinforceHullBlueprint"    船体加固模块蓝图
    "WorkbenchBlueprint"    高级工作台蓝图
    "Boulder"    巨石
    "HangingStinger"    毒刺
    "SpikePlant"    虎皮草
    "FilteredWater"    过滤净水
    "DisinfectedWater"    未污染的水
    "CookedPeeper"    烤熟的大眼仔
    "CookedHoleFish"    烤熟的洞洞鱼
    "CookedHoopfish"    烤熟的圈圈鱼
    "CookedGarryFish"    烤熟的咖喱鱼
    "CookedReginald"    烤熟的雷纳鱼
    "CookedBladderfish"    烤熟的泡泡鱼
    "CookedHoverfish"    烤熟的吸盘鱼
    "CookedSpadefish"    烤熟的铁锹鱼
    "CookedBoomerang"    烤熟的飞镖鱼
    "CookedEyeye"    烤熟的小眼仔
    "CookedOculus"    烤熟的鬼眼鱼
    "Unobtanium"    常温超导体
    "Creepvine"    海藻
    "HoleFish"    洞洞鱼
    "Jumper"    跳跳鱼
    "Peeper"    大眼仔
    "Oculus"    鬼眼鱼
    "Hoopfish"    圈圈鱼
    "RabbitRay"    兔子鱼
    "GarryFish"    咖喱鱼
    "Slime"    史莱姆
    "Crash"    自爆鱼
    "Boomerang"    飞镖鱼
    "LavaLarva"    熔岩虫
    "Stalker"    潜行者
    "Eyeye"    小眼仔
    "Bloom"    泛光
    "Bladderfish"    泡泡鱼
    "Hoverfish"    吸盘鱼
    "Jellyray"    水母鳐
    "Reefback"    礁背鱼
    "Reginald"    雷纳鱼
    "Spadefish"    铁锹鱼
    "Grabcrab"    抓抓蟹
    "Floater"    漂浮者
    "Gasopod"    毒气鱼
    "Sandshark"    沙鲨
    "Player"    玩家
    "AirBladder"    气囊
    "MeterSuffix"    米
    "SUB DEPTH"    潜艇深度
    "ECOSYSTEM"    生态系统
    "BATHSPHERE"    浴球
    "BLOOD SUGAR"    血糖
    "FOOD"    食物
    "H20"    水
    "Initializing dive suit HUD..."    潜水服显示界面正在初始化
    "Initializing objectives..."    初始化目标……
    "|"    啛
    "Demo time"    演示时间
    "InventorySecured"    物品已保存
    "THANK YOU FOR PLAYING"    感谢游戏
    "PRIMARY"    主要
    "SECONDARY"    次要
    "Drop loot onto Constructor"    放置材料
    "DeployConstructor"    投放载具舱
    "DeployConstructorInWater"    载具舱必须在水里使用！
    "<UnImplemented>"    （暂未实装）
    "<Bullet>"    •
    "DontHaveNeededIngredients"    你没有所需的材料！
    "YouDied"    你死了。
    "YouDiedLostStuff"    你死了，并且失去了一些物品。
    "OXYGEN"    空气
    "How likely are you to recommend this game to a friend?"    你会把这个游戏推荐给你的朋友吗
    "Submit"    提交
    "WASD to pilot, SPACE\/C for vertical, E to exit"    键移动，空格键上浮下潜，键退出
    "I"    我
    "TRANSFUSER SERUM"    提取血清
    "PLAYER EFFECTS"    玩家特效
    "CREATURE DEBUG"    生物调试
    "PickUp"    捡起
    "PickedUp"    拾取了
    "Needs"    需求
    "Tooltip_AcidMushroom"    紫色的菌类。表层有强酸作为自我防御。
    "Tooltip_AdvancedWiringKit"    有金银针脚的处理器，用于高级建造。
    "Tooltip_AirBladder"    紧急漂浮装置。通过化学反应产生比空气更轻的气体来产生强大的浮力。
    "Tooltip_Battery"    便携能源。
    "Tooltip_Beacon"    导航辅助装置，会维持并显示其位置，可编辑名称。
    "Tooltip_Bleach"    。次氯酸钠漂白剂。用于对液体进行消毒。
    "Tooltip_Builder"    可用于建设基地和基地设施的工具。
    "Tooltip_Compass"    在顶端显示方向。
    "Tooltip_ComputerChip"    多功能处理器。
    "Tooltip_Constructor"    可用来制造载具。
    "Tooltip_CookedBladderfish"    海绵状，软骨，低热量。值得庆幸的是没有臭味。
    "Tooltip_CookedBoomerang"    翅膀附近的肉很好吃。
    "Tooltip_CookedEyeye"    流体较多，热量较低，难以保存。
    "Tooltip_CookedGarryFish"    花香口味，不过不是很浓。
    "Tooltip_CookedHoleFish"    肉质呈凝胶状。
    "Tooltip_CookedHoopfish"    当做甜甜圈来吃吧，注意别吃触角。
    "Tooltip_CookedHoverfish"    高蛋白，低脂肪。
    "Tooltip_CookedOculus"    暗色，肉质口感好，很美味。
    "Tooltip_CookedPeeper"    眼球富含高蛋白质，营养丰富。
    "Tooltip_CookedReginald"    口感辛辣，有烟熏味，热量较高。
    "Tooltip_CookedSpadefish"    味道还行，就是比较咸。
    "Tooltip_Copper"    铜，许多基本配线的组件。
    "Tooltip_CopperWire"    用铜矿制成的普通电线。
    "Tooltip_CoralChunk"    含碳酸钙，是制作漂白剂的基本原料之一。
    "Tooltip_Creepvine"    常被发现于生长浅层沙地中的本地植物。
    "Tooltip_CreepvinePiece"    硅基植物材料。
    "Tooltip_CurrentGenerator"    使用人造重力制造海流。
    "Tooltip_Cyclops"    大型工业级潜水艇。
    "Tooltip_Diamond"    由碳元素组成的高强度材料。
    "Tooltip_DisinfectedWater"    盎司的水，已除菌。
    "Tooltip_DiveReel"    全息追踪导索，可以绘制返回原地的路径，防止迷路。
    "Tooltip_EnameledGlass"    玻璃，已经过天然陶瓷的加固。
    "Tooltip_Exosuit"    能让穿戴者在任何极端环境行走自如。
    "Tooltip_Fabricator"    基础的工作台，将收集到的最基础的材料转化为有用的物品。
    "Tooltip_FilteredWater"    水，盎司天然隔膜过滤水。
    "Tooltip_Fins"    将垂直下肢运动转换为水中动力，游泳速度大约增加。
    "Tooltip_Flare"    一次性光源，用于分散某些捕食者的注意力。
    "Tooltip_Flashlight"    电池供电，全环境适用的光源。
    "Tooltip_Floater"    生命周期未知，由多种微生物组成的共生体。
    "Tooltip_Glass"    纯石英熔制的玻璃，成分为二氧化硅。
    "Tooltip_Gold"    金，昂贵的导电性物质。
    "Tooltip_GrandReefsEgg"    未知生物的蛋。
    "Tooltip_GrassyPlateausEgg"    未知生物的蛋。
    "Tooltip_Gravsphere"    利用人造重力吸引较轻的物体。
    "Tooltip_Hoopfish"    小型，可食用的鱼类。
    "Tooltip_JeweledDiskPiece"    含有微量贵金属，可用来制造计算机。
    "Tooltip_KelpForestEgg"    未知生物的蛋。
    "Tooltip_Knife"    必备的多功能求生小刀。
    "Tooltip_KooshZoneEgg"    未知生物的蛋。
    "Tooltip_LavaZoneEgg"    未知生物的蛋。
    "Tooltip_Lithium"    用于高强度合金的制造。
    "Tooltip_Locker"    独立的储藏室。
    "Tooltip_Magnesium"    镁，可燃金属，多用于产生强效光照。
    "Tooltip_MushroomForestEgg"    未知生物的蛋。
    "Tooltip_Pipe"    一条可用于远距离输送空气的水管。须从空气泵开始连接。
    "Tooltip_PlasteelIngot"    超强合成建筑材料。
    "Tooltip_PowerCell"    大容量便携能量源。
    "Tooltip_Quartz"    晶体形态的二氧化硅。
    "Tooltip_RadiationSuit"    铅制工作服，可以隔绝外部辐射。
    "Tooltip_Rebreather"    在深处潜水时节约使用氧气，可以吸收呼出气体中的二氧化碳。
    "Tooltip_SafeShallowsEgg"    未知生物的蛋。
    "Tooltip_Salt"    盐，用于调味和卫生消毒。
    "Tooltip_ScrapMetal"    钛含量，。
    "Tooltip_Seamoth"    单人载具。
    "Tooltip_Signal"    坐标。
    "Tooltip_Silicone"    合成硅橡胶。
    "Tooltip_Silver"    银，有良好的导电性和杀菌性。
    "Tooltip_SmallStorage"    的存储空间，可以放置漂浮在水中而且不会进水。
    "Tooltip_StalkerTooth"    锐利坚硬的钙质构体。
    "Tooltip_StasisRifle"    通过改变磁场使物体在一段时间内处于停滞状态。
    "Tooltip_Tank"    含氧气，由可呼吸空气压制而成。
    "Tooltip_Terraformer"    根据你的需求改造地形结构。
    "Tooltip_Thermometer"    温度显示器。
    "Tooltip_Titanium"    钛，最常用的建筑材料。
    "Tooltip_TitaniumIngot"    高密度的钛金属块。
    "Tooltip_Transfuser"    可提取生物样本用于研究。
    "Tooltip_TwistyBridgesEgg"    未知生物的蛋。
    "Tooltip_Welder"    多功能修复工具，在所有环境中都能正常工作。
    "Tooltip_WiringKit"    用银制作而成的绝缘线，基本的电子元件。
    "Tooltip_SeamothFragment"    海蛾号制造科技的碎片。
    "Tooltip_StasisRifleFragment"    凝滞枪制造科技的碎片。
    "Tooltip_ExosuitFragment"    用于解锁海虾动力盔甲所需科技。
    "Tooltip_TransfuserFragment"    基因提取枪制作科技的碎片。
    "Tooltip_TerraformerFragment"    地形改造器制造科技的碎片。
    "Tooltip_WorkbenchFragment"    极光号高级工作台的碎片。
    "Tooltip_FabricatorBlueprint"    用于制造工作台。
    "Tooltip_ConstructorBlueprint"    用于制造载具舱。
    "Tooltip_CyclopsBlueprint"    用于制造独眼巨人号。
    "Tooltip_SeamothBlueprint"    海蛾号蓝图。
    "Tooltip_StasisRifleBlueprint"    用于制造凝滞枪。
    "Tooltip_ExosuitBlueprint"    用于制造海虾动力盔甲。
    "Tooltip_TransfuserBlueprint"    用于制作基因提取枪。
    "Tooltip_TerraformerBlueprint"    用于制作地形改造器。
    "Tooltip_ReinforceHullBlueprint"    用于制造船体加固模块。
    "Tooltip_WorkbenchBlueprint"    高级工作台蓝图。
    "WorldArrow_EquipFlashlight"    装备手电筒
    "WorldArrow_EquipKnife"    装备生存匕首
    "WorldArrow_CutCreepvine"    用匕首切下
    "WorldArrow_EquipSeaglide"    装备水下推进器
    "WorldArrow_TurnOnFlashlight"    打开手电筒
    "WorldArrow_EquipConstructor"    装备载具舱
    "WorldArrow_ReleaseConstructor"    投放载具舱
    "WorldArrow_EatSomething"    处于饥饿状态
    "WorldArrow_DrinkSomething"    处于口渴状态
    "WorldArrow_PickupMetal"    回收金属
    "WorldArrow_PickupQuartz"    获得石英
    "WorldArrow_BreakLimestone"    敲碎石灰岩
    "WorldArrow_BoardEscapePod"    进入逃生舱
    "WorldArrow_UseFabricator"    使用
    "WorldArrow_OpenPDA"    打开电脑
    "WorldArrow_CatchPeeper"    抓住大眼仔
    "WorldArrow_EnterSeamoth"    进入海蛾号
    "WorldArrow_BoardCyclops"    登上独眼巨人号
    "WorldArrow_DockSeamoth"    停泊海蛾号
    "FragmentAnalyzer"    碎片分析仪
    "Tooltip_FragmentAnalyzer"    分析碎片来获取制造蓝图
    "FragmentAnalysisComplete"    碎片扫描完成，已解锁
    "Terraformer_Ammo"    材料：
    "BaseFoundation"    地基
    "BaseCorridor"    基本走廊
    "BaseCorridorI"    型走廊
    "BaseCorridorT"    型走廊
    "BaseCorridorL"    型走廊
    "BaseCorridorX"    十字走廊
    "BaseDoor"    大门
    "BaseHatch"    舱门
    "BaseLadder"    梯子
    "BaseReinforcement"    基地加固板
    "BaseRoom"    房间
    "BaseWall"    墙壁
    "BaseWindow"    窗户
    "PowerGenerator"    发电装置
    "Tooltip_BaseFoundation"    加固基地。
    "Tooltip_BaseCorridor"    基础管状走廊。
    "Tooltip_BaseCorridorI"    基础管状走廊。
    "Tooltip_BaseCorridorT"    形走廊。
    "Tooltip_BaseCorridorL"    形走廊。
    "Tooltip_BaseCorridorX"    十字走廊。
    "Tooltip_BaseDoor"    提供支撑结构并防止积水。
    "Tooltip_BaseHatch"    提供基地入口。
    "Tooltip_BaseLadder"    连接两个楼层。
    "Tooltip_BaseReinforcement"    增加结构完整性。
    "Tooltip_BaseRoom"    基础房间。
    "Tooltip_BaseWall"    分出隔间。
    "Tooltip_BaseWindow"    啛
    "Tooltip_PowerGenerator"    为基地供能。
    "GhostModelRotateInput"    滑动鼠标滚轮以旋转
    "WarningUnsafeDepth"    警告：超过安全深度米，出现碰撞将会造成船体受损！
    "WarningCrushDepth"    警告：已接近极限高压深度米，船体将会损坏！尽快上浮！
    "SafeDepthNow"    安全深度米
    "CrushDepthNow"    可承受水压深度米
    "NewLeakDetected"    检测到船体破损！严重破损，次要破损。
    "LeakWelded"    完成船体修复。剩余严重破损和次要破损。
    "HullRestored"    舱体破损已修复，排水系统启动。
    "AimCloserToGround"    接近地面并继续前进。
    "DiveReelUsage"    在地上设置锚点，然后尽情游玩吧。
    "DiveReelAfterAnchor"    再次使用准备抛锚，无需装备。
    "PickUpDiveReelAnchor"    起锚
    "WrongAnchorForReel"    请先装备潜水线圈！
    "BaseHullStrChanged"    基地舱体强度，现在统计
    "BaseHullStrDamageDetected"    因舱体强度不足而受损！请增加舱体强度或分解影响基地强度的组件！
    "GiantMushroomTree"    巨大的生命体
    "SecretCave"    打开洞穴？
    "CaveEntrance"    进入洞穴？
    "HeatSignature"    热能信号
    "HatchExitBlocked"    舱门受阻
    "Lead"    铅
    "Magnesium"    镁
    "NutrientBlock"    速食饼干
    "OpalGem"    蛋白石
    "SupplyCrate"    补给箱
    "SmallSupplyCrate"    小补给箱
    "HoldShiftToPreventMenuClose"    按住键，防止菜单关闭
    "RadiationHelmet"    防辐射头盔
    "RadiationGloves"    防辐射手套
    "HullReinforcementModule"    独眼巨人号船体加固模块
    "Tooltip_HullReinforcementModule"    提高船体稳定器的计算能力，增加安全潜水深度。
    "PowerUpgradeModule"    独眼巨人号发动机效率模块
    "Tooltip_PowerUpgradeModule"    吸收热能，提升能效。
    "SpecimenAnalyzerBlueprint"    标本分析仪蓝图
    "FirstAidKit"    急救包
    "Tooltip_FirstAidKit"    处理过的绷带，可用于止血和为伤口消毒，使用后可恢复的健康值。
    "Tooltip_Lead"    铅，用于隔离辐射。
    "Tooltip_NutrientBlock"    极光号遗留的加工食品。
    "Tooltip_OpalGem"    一块高密度的二氧化硅胶凝体。
    "Tooltip_RadiationGloves"    铅制防辐射装备。
    "Tooltip_RadiationHelmet"    铅制防辐射头盔。
    "Tooltip_SupplyCrate"    极光号遗落的工具与物资。
    "Tooltip_SmallSupplyCrate"    极光号残留的物资。
    "Open_SupplyCrate"    打开
    "Close_SupplyCrate"    关闭
    "Tooltip_SpecimenAnalyzerBlueprint"    用于制作标本分析仪。
    "Tooltip_HoleFish"    小型食用鱼
    "Tooltip_Peeper"    小型食用鱼
    "Tooltip_Oculus"    小型食用鱼
    "Tooltip_GarryFish"    小型食用鱼
    "Tooltip_Boomerang"    小型食用鱼
    "Tooltip_LavaLarva"    被电能吸引，并且可以吸收利用电能。
    "Tooltip_Eyeye"    小型食用鱼
    "Tooltip_Bladderfish"    独特的外膜具有作为天然水过滤器的潜力。
    "Tooltip_Hoverfish"    小型食用鱼
    "Tooltip_Reginald"    小型食用鱼
    "Tooltip_Spadefish"    小型食用鱼
    "SpecimenAnalyzer"    标本分析仪
    "AccessSpecimenAnalyzer"    使用
    "Tooltip_SpecimenAnalyzer"    分析标本并制作蓝图。
    "SpecimenAnalyzerEmpty"    标本分析仪空
    "SpecimenAnalyzerIdle"    标本分析仪闲置
    "SpecimenAnalyzing"    分析中……
    "SpecimenAnalysisCommencing"    分析开始
    "SpecimenAnalysisComplete"    标本分析，解锁
    "ReefbackTissue"    软骨组织
    "Tooltip_ReefbackTissue"    删除
    "ReefbackShell"    软骨外壳
    "Tooltip_ReefbackShell"    删除
    "ReefbackAdvancedStructure"    龟类结构
    "Tooltip_ReefbackAdvancedStructure"    删除
    "HullReinforcementModule2"    独眼巨人号船体外壳强化模块
    "Tooltip_HullReinforcementModule2"    删除
    "HullReinforcementModule3"    独眼巨人号龟结构船体强化模块
    "Tooltip_HullReinforcementModule3"    删除
    "ReefbackEgg"    礁背鱼蛋
    "Tooltip_ReefbackEgg"    孵化礁背鱼
    "ReefbackDNA"    礁背鱼样本
    "UpgradeConsole"    访问升级控制台
    "PowerRatingNow"    引擎效率目前为
    "RadiationFixed"    所有的泄漏辐射已消散，估计时间：天，重新尝试下载极光号黑匣子数据，遇到干扰，修正中……下载……完成……
    "RemainingRadiationLeaks"    已修复水族馆裂口，剩余裂口数量
    "HardcoreGameOver"    你死了，游戏结束。
    "WorldArrow_AttackBleeder"    右键攻击
    "InventoryLabel"    物品栏
    "StorageLabel"    储物柜
    "EquipmentLabel"    已装备
    "CraftingLabel"    建造
    "KeyRange15"    啛
    "BeaconLabelEdit"    编辑信标名称
    "BeaconLabel"    信标名称
    "BeaconSubmit"    确认
    "BeaconDefaultPrefix"    信标
    "EscapePodStorageLabel"    储物柜
    "CyclopsUpgradesStorageLabel"    升级模块
    "SpecimenAnalyzerStorageLabel"    标本分析仪
    "CalciumChunk"    钙质块
    "CuredPeeper"    腌制大眼仔
    "CuredHoleFish"    腌制洞洞鱼
    "CuredHoopfish"    腌制圈圈鱼
    "CuredGarryFish"    腌制咖喱鱼
    "CuredReginald"    腌制雷纳鱼
    "CuredBladderfish"    腌制泡泡鱼
    "CuredHoverfish"    腌制吸盘鱼
    "CuredSpadefish"    腌制铁锹鱼
    "CuredBoomerang"    腌制飞镖鱼
    "CuredEyeye"    腌制小眼仔
    "CuredOculus"    腌制鬼眼鱼
    "Decomposing"    陈旧
    "Ripe"    成熟
    "Rotting"    腐烂
    "CookedFood"    烹饪过的食物
    "CuredFood"    腌制过的食物
    "Tooltip_CuredBladderfish"    让人联想到牛肉干，进食会损失水分，但可以保存更久。
    "Tooltip_CuredBoomerang"    有点硬但味道很好，进食会损失水分，但可以保存更久。
    "Tooltip_CuredEyeye"    干瘪且味道苦涩，进食会损失水分，但可以保存更久。
    "Tooltip_CuredGarryFish"    几乎只有咸味，进食会损失水分，但可以保存更久。
    "Tooltip_CuredHoleFish"    因为腌制的缘故咸味很重，进食会损失水分，但可以保存更久。
    "Tooltip_CuredHoopfish"    吃着最像鱼的鱼，进食会损失水分，但可以保存更久。
    "Tooltip_CuredHoverfish"    腿肉口感酥脆，进食会损失水分，但可以保存更久
    "Tooltip_CuredOculus"    肉感浓郁，进食会损失水分，但可以保存更久。
    "Tooltip_CuredPeeper"    用食盐腌制，健康有营养。进食会损失水分，但可以保存更久。
    "Tooltip_CuredReginald"    很咸，但是可以提供足够的饱腹感，进食会损失水分，但可以保存更久。
    "Tooltip_CuredSpadefish"    快速提供每日所需盐分，进食会损失水分，但可以保存更久。
    "NoBattery"    物品栏没有电池
    "UseWorkbench"    使用
    "DiamondBlade"    钻石匕首
    "HeatBlade"    热能匕首
    "LithiumIonBattery"    锂电池
    "PlasteelTank"    轻质大容量氧气瓶
    "HighCapacityTank"    特大容量氧气瓶
    "UltraGlideFins"    动力脚蹼
    "SwimChargeFins"    充能脚蹼
    "RepulsionCannon"    冲击炮
    "Stillsuit"    环保潜水服
    "PowerGlide"    动力推进器
    "Tooltip_DiveSuit"    基础的潜水服。
    "Tooltip_DiamondBlade"    钻石匕首可造成更高的伤害。
    "Tooltip_HeatBlade"    用这把匕首对小型生物进行加热并消毒后，可以快速进食。
    "Tooltip_LithiumIonBattery"    高容量电池
    "Tooltip_PlasteelTank"    使用更轻便的材质保证了更强的机动性。
    "Tooltip_HighCapacityTank"    更大的氧气容量。
    "Tooltip_UltraGlideFins"    流线型结构可提升游泳速度。
    "Tooltip_SwimChargeFins"    在游泳时可自动充能所持设备。
    "Tooltip_RepulsionCannon"    对范围内的物体施加强大的瞬时推力。
    "Tooltip_Stillsuit"    从人体回收可饮用的水分。
    "Tooltip_PowerGlide"    右键开灯。
    "SecsO2"    秒
    "Empty"    空的
    "Tooltip_PropulsionCannon"    扭曲重力来拉动和推动物体。
    "Tooltip_PropulsionCannonBlueprint"    用于制造冲击炮。
    "InventoryOverflow"    物品栏已满。腾出一些空位来拾取。
    "CrashPowder"    洞穴硫磺
    "Tooltip_CrashPowder"    硫磺粉末，可在水下燃烧。
    "LoadGame"    载入游戏
    "Quit"    退出
    "SurvivalDescription"    意外坠落危险外星球，通过收集资源，寻找食物来维持生存。
    "FreedomDescription"    需要注意氧气含量和躲避危险的生物，但不需要为食物与水操心。
    "HardcoreDescription"    只有一次生命的生存模式，并且没有低氧提示，小心了。
    "GetDevelopmentUpdates"    开发新闻
    "ViewOnSteam"    在上查看
    "RedeemaKey"    兑换激活码
    "GetDevUpdates"    获取开发者更新
    "GetDevUpdatesDescription"    输入你的邮箱来获取下一个深海迷航更新的最新消息！
    "EnterEmailPlaceholder"    输入邮箱……
    "ViewPastUpdates"    查看过去的更新
    "Subscribe"    订阅
    "RedeemanItemKey"    兑换一个物品激活码
    "EnterKeyPlaceholder"    输入激活码
    "RedemptionDescription"    如果你拥有一枚深海迷航密钥，在这里兑换。
    "Redeem"    兑换
    "StillsuitEquipped"    装备环保潜水服可收集身体多余水分。在秒内按下激活按钮可中和异味。你没有选择激活异味中和系统。祝你拥有美好的一天。
    "StillsuitCreatedWater"    环保潜水服回收了盎司的循环水。
    "StillsuitWater"    再生水
    "Tooltip_StillsuitWater"    循环利用的纯净水，从身体回收。
    "Help"    帮助
    "Inventory"    物品栏
    "OpenSteamInventory"    开启库存
    "BackToDevNews"    返回开发新闻
    "EconomyWarning"    这项功能目前正处于内测中。暂时请忽略它吧！
    "DevTestItem"    开发中
    "Tooltip_DevTestItem"    测试物品
    "BikemanHullPlate"    比克曼船体钢板
    "EatMyDictionHullPlate"    一种船体钢板
    "POWER"    电力
    "DevelopmentNews"    新闻
    "SavedGames"    已保存的游戏
    "ClimbLadder"    爬上梯子
    "ExitEscapePod"    离开逃生舱
    "EnterEscapePod"    进入逃生舱
    "BoardEscapePod"    登入逃生舱
    "UseLadder"    使用梯子
    "Open"    打开
    "Close"    关闭
    "OpenStorage"    打开储物柜
    "SavingGame"    保存游戏中……
    "GameSaved"    游戏已保存
    "PressButton"    按下按钮
    "Climb"    爬
    "Dig"    挖
    "DriveVehicle"    驾驶载具
    "CloseDoor"    关门
    "OpenDoor"    开门
    "ClimbUp"    爬上
    "ClimbDown"    爬下
    "GrabOn"    抓取
    "PickupCable"    拾取电缆
    "InsertPowerCell"    插入新的动力电池
    "PilotSub"    驾驶
    "SetAutopilot"    设置自动驾驶
    "SignInstructions"    拾取（右键编辑）
    "TerraformerInstructions"    右键拖动添加材料。右键拖动来挖掘材料。
    "TerraformerOutOfMaterial"    材料耗尽！
    "TerraformerTooClose"    距离过近！尽快远离！
    "TerraformerTooFar"    距离过远。
    "PipeInstructions"    连接空气泵或其他导气管末端。
    "PipeCantReconnect"    距离太远
    "PipeNotConnected"    导气管未连接空气泵，无法获取空气。
    "FeedbackInstructions"    按来报告游戏并提供反馈。
    "SpawnNearbyFailed"    附近重生失败。
    "Compass"    指南针
    "Pipe"    导气管
    "Terraformer"    地形改造器
    "Thermometer"    温度计
    "BatteryDepleted"    电池耗尽
    "Gravsphere"    引力陷阱
    "Cyclops"    独眼巨人号
    "EscapePod"    逃生舱
    "Silicone"    硅胶
    "Tooltip_Aquarium"    自给自足的鱼缸。
    "Tooltip_Spotlight"    聚光照明设备。
    "DeconstructAttachedError"    需要先将其他部件拆除。
    "Pause"    暂停
    "BackToGame"    返回游戏
    "GiveFeedback"    反馈意见
    "Save"    保存
    "QuitToDesktop"    退回至桌面
    "AreYouSure"    确定吗？
    "Yes"    是
    "No"    否
    "InvertMouse"    反转鼠标
    "MouseSensitivity"    鼠标灵敏度
    "DisableMousePitch"    禁用鼠标
    "ArmFollowsGaze"    手臂以下视线
    "capacity"    容量
